dataset,subject,elec_idx,elec,z,p
Angelique,S09,33,t33,2.2143,0.00781
Angelique,S09,34,t34,2.15,0.00781
Angelique,S09,35,t35,1.178,0.13281
Angelique,S09,36,t36,-0.2595,0.58594
Angelique,S09,37,t37,-0.4646,0.66406
Angelique,S09,38,t38,0.3935,0.30469
Angelique,S09,39,t39,0.7568,0.25781
Angelique,S09,40,t40,0.4303,0.36719
Angelique,S09,41,t41,0.1531,0.42969
Angelique,S09,42,t42,0.3395,0.36719
Angelique,S09,43,t43,0.4777,0.36719
Angelique,S09,44,t44,0.4735,0.35156
Angelique,S09,45,t45,0.1078,0.44531
Angelique,S09,46,t46,-0.5697,0.69531
Angelique,S09,47,t47,-0.4929,0.66406
Angelique,S09,48,t48,-0.2337,0.57031
Angelique,S09,49,t49,-0.0328,0.52344
Angelique,S09,50,t50,0.2363,0.41406
Angelique,S09,51,t51,0.1895,0.42969
Angelique,S09,52,t52,-0.054,0.50781
Angelique,S09,53,t53,-0.3015,0.64844
Angelique,S09,54,t54,-0.4096,0.64844
Angelique,S09,55,t55,-0.5033,0.66406
Angelique,S09,56,t56,-0.8997,0.83594
Angelique,S09,57,t57,-1.3756,0.91406
Angelique,S09,58,t58,-1.6164,0.96094
Angelique,S09,59,t59,-1.6664,0.96094
Angelique,S09,60,t60,-1.2813,0.89844
Angelique,S09,61,t61,0.1319,0.42969
Angelique,S09,62,t62,1.2523,0.10156
Angelique,S09,63,t63,1.6367,0.05469
Angelique,S10,0,t00,1.2465,0.10156
Angelique,S10,1,t01,1.1608,0.14844
Angelique,S10,2,t02,1.1978,0.13281
Angelique,S10,3,t03,1.2646,0.14844
Angelique,S10,4,t04,1.2278,0.14844
Angelique,S10,5,t05,1.0239,0.16406
Angelique,S10,6,t06,0.7273,0.25781
Angelique,S10,7,t07,0.4384,0.38281
Angelique,S10,8,t08,0.1486,0.47656
Angelique,S10,9,t09,-0.1888,0.55469
Angelique,S10,10,t10,-0.4833,0.64844
Angelique,S10,11,t11,-0.4516,0.67969
Angelique,S10,12,t12,-0.1092,0.52344
Angelique,S10,13,t13,0.1798,0.49219
Angelique,S10,14,t14,0.0678,0.46094
Angelique,S10,15,t15,-0.4103,0.64844
Angelique,S10,16,t16,-0.8617,0.78906
Angelique,S10,17,t17,-1.066,0.85156
Angelique,S10,18,t18,-1.0615,0.85156
Angelique,S10,19,t19,-1.1465,0.85156
Angelique,S10,20,t20,-1.2887,0.86719
Angelique,S10,21,t21,-1.1889,0.85156
Angelique,S10,22,t22,-1.0188,0.85156
Angelique,S10,23,t23,-1.0161,0.82031
Angelique,S10,24,t24,-1.1807,0.85156
Angelique,S10,25,t25,-1.2703,0.85156
Angelique,S10,26,t26,-1.1593,0.85156
Angelique,S10,27,t27,-0.9637,0.80469
Angelique,S10,28,t28,-0.888,0.75781
Angelique,S10,29,t29,-0.9693,0.80469
Angelique,S10,30,t30,-1.1412,0.86719
Angelique,S10,31,t31,-1.1904,0.83594
Angelique,S10,32,t32,-0.7287,0.82031
Angelique,S10,33,t33,-0.2437,0.58594
Angelique,S10,34,t34,-0.1649,0.55469
Angelique,S10,35,t35,-0.4594,0.64844
Angelique,S10,36,t36,-0.7363,0.74219
Angelique,S10,37,t37,-0.636,0.74219
Angelique,S10,38,t38,-0.2884,0.60156
Angelique,S10,39,t39,0.0756,0.46094
Angelique,S10,40,t40,0.3832,0.36719
Angelique,S10,41,t41,0.6786,0.27344
Angelique,S10,42,t42,0.9493,0.21094
