dataset,subject,elec_idx,elec,z,p
Angelique,S08,58,t58,0.1507,0.46094
Angelique,S08,59,t59,0.0524,0.46094
Angelique,S08,60,t60,0.1534,0.44531
Angelique,S08,61,t61,0.3894,0.39844
Angelique,S08,62,t62,0.6231,0.28906
Angelique,S08,63,t63,0.7519,0.24219
Angelique,S09,0,t00,-0.2985,0.58594
Angelique,S09,1,t01,-0.1779,0.57031
Angelique,S09,2,t02,0.112,0.46094
Angelique,S09,3,t03,0.3712,0.39844
Angelique,S09,4,t04,0.5211,0.36719
Angelique,S09,5,t05,0.6416,0.33594
Angelique,S09,6,t06,0.801,0.27344
Angelique,S09,7,t07,1.0561,0.21094
Angelique,S09,8,t08,1.3196,0.14844
Angelique,S09,9,t09,1.5195,0.05469
Angelique,S09,10,t10,1.6034,0.03906
Angelique,S09,11,t11,1.5427,0.05469
Angelique,S09,12,t12,1.4307,0.08594
Angelique,S09,13,t13,1.3503,0.11719
Angelique,S09,14,t14,1.2458,0.10156
Angelique,S09,15,t15,1.134,0.14844
Angelique,S09,16,t16,0.9898,0.21094
Angelique,S09,17,t17,0.8285,0.27344
Angelique,S09,18,t18,0.702,0.30469
Angelique,S09,19,t19,0.5039,0.32031
Angelique,S09,20,t20,0.3209,0.38281
Angelique,S09,21,t21,0.2836,0.42969
Angelique,S09,22,t22,0.4088,0.33594
Angelique,S09,23,t23,0.6778,0.25781
Angelique,S09,24,t24,1.0042,0.21094
Angelique,S09,25,t25,0.6612,0.27344
Angelique,S09,26,t26,0.2115,0.38281
Angelique,S09,27,t27,-0.0112,0.50781
Angelique,S09,28,t28,-0.0145,0.50781
Angelique,S09,29,t29,0.2688,0.41406
Angelique,S09,30,t30,0.6979,0.33594
Angelique,S09,31,t31,0.9853,0.24219
Angelique,S09,32,t32,1.0809,0.16406
Angelique,S09,33,t33,1.063,0.21094
Angelique,S09,34,t34,1.1051,0.16406
Angelique,S09,35,t35,1.239,0.10156
Angelique,S09,36,t36,1.2987,0.08594
Angelique,S09,37,t37,1.1785,0.11719
Angelique,S09,38,t38,0.9546,0.22656
Angelique,S09,39,t39,0.7147,0.33594
Angelique,S09,40,t40,0.558,0.38281
Angelique,S09,41,t41,0.5335,0.39844
Angelique,S09,42,t42,0.5072,0.41406
Angelique,S09,43,t43,0.5393,0.44531
Angelique,S09,44,t44,0.6099,0.42969
Angelique,S09,45,t45,0.6618,0.39844
Angelique,S09,46,t46,0.7367,0.41406
Angelique,S09,47,t47,0.8556,0.30469
Angelique,S09,48,t48,0.9412,0.19531
Angelique,S09,49,t49,0.8874,0.25781
Angelique,S09,50,t50,0.797,0.30469
Angelique,S09,51,t51,0.7936,0.28906
Angelique,S09,52,t52,0.7526,0.28906
Angelique,S09,53,t53,0.589,0.30469
Angelique,S09,54,t54,0.3294,0.38281
Angelique,S09,55,t55,-0.0933,0.50781
Angelique,S09,56,t56,-0.4545,0.58594
Angelique,S09,57,t57,-0.6148,0.75781
Angelique,S09,58,t58,-0.5918,0.72656
Angelique,S09,59,t59,-0.4574,0.66406
Angelique,S09,60,t60,-0.3869,0.64844
Angelique,S09,61,t61,-0.4197,0.69531
Angelique,S09,62,t62,-0.3556,0.69531
Angelique,S09,63,t63,-0.2504,0.58594
Angelique,S10,0,t00,-1.3972,0.91406
Angelique,S10,1,t01,-1.4862,0.94531
Angelique,S10,2,t02,-1.654,0.94531
Angelique,S10,3,t03,-1.8422,0.97656
Angelique,S10,4,t04,-1.9922,0.97656
Angelique,S10,5,t05,-2.0901,0.99219
Angelique,S10,6,t06,-2.1413,0.99219
Angelique,S10,7,t07,-2.0941,0.99219
Angelique,S10,8,t08,-1.9418,0.99219
Angelique,S10,9,t09,-1.8384,0.97656
Angelique,S10,10,t10,-1.7899,0.96094
Angelique,S10,11,t11,-1.7378,0.96094
Angelique,S10,12,t12,-1.7048,0.94531
Angelique,S10,13,t13,-1.7629,0.97656
Angelique,S10,14,t14,-1.7746,0.99219
Angelique,S10,15,t15,-1.5233,0.94531
Angelique,S10,16,t16,-1.1025,0.80469
Angelique,S10,17,t17,-0.9131,0.77344
Angelique,S10,18,t18,-0.9948,0.80469
Angelique,S10,19,t19,-1.1037,0.82031
Angelique,S10,20,t20,-1.1841,0.85156
Angelique,S10,21,t21,-1.2826,0.89844
Angelique,S10,22,t22,-1.3983,0.91406
Angelique,S10,23,t23,-1.4882,0.91406
Angelique,S10,24,t24,-1.5579,0.96094
Angelique,S10,25,t25,-1.5991,0.96094
Angelique,S10,26,t26,-1.5657,0.97656
