dataset,subject,variant,arm,stat,z,p,n_assignments
Angelique,S27,A3_all68_k8,disc,-0.003390839026568759,0.37403682075850825,0.359375,64
Angelique,S28,A3_all68_k8,disc,-0.0020238819487424374,-0.2218894220342157,0.484375,64
Angelique,S29,A3_all68_k8,disc,0.0031644785832040633,0.6361962688289616,0.265625,64
Angelique,S31,A3_all68_k8,disc,-0.004661922914183604,-0.2930331711112521,0.640625,64
Angelique,S32,A3_all68_k8,disc,0.0038546779813190585,1.3786690093451397,0.078125,64
Angelique,S33,A3_all68_k8,disc,-0.004285681028385909,-0.8006712405222646,0.765625,64
Angelique,S34,A3_all68_k8,disc,0.01929720934576962,1.9507676716895423,0.015625,64
Angelique,S35,A3_all68_k8,disc,0.007027127846930485,1.2092885131794018,0.171875,64
Angelique,S37,A3_all68_k8,disc,0.001358070538632449,0.28940648852906903,0.421875,64
Angelique,S38,A3_all68_k8,disc,0.0016541080300723349,0.019720818108805997,0.484375,64
Talia,S01,A3_all68_k8,disc,-0.0020408559833212385,-0.02045518807264171,0.4375,16
Talia,S02,A3_all68_k8,disc,0.015563095026470922,1.7134959548579365,0.0625,16
Talia,S03,A3_all68_k8,disc,0.020741151881656955,1.9175694382886315,0.0625,16
Talia,S04,A3_all68_k8,disc,0.019807937101636336,1.814888823930498,0.0625,16
Talia,S05,A3_all68_k8,disc,0.010718340752641057,0.9581639014317371,0.1875,16
Talia,S06,A3_all68_k8,disc,0.007930947403485822,1.3978433178564933,0.0625,16
Talia,S07,A3_all68_k8,disc,0.020429535387585393,1.881614379291346,0.0625,16
Talia,S08,A3_all68_k8,disc,0.018406023553129147,2.033390635995164,0.0625,16
Talia,S09,A3_all68_k8,disc,0.039186937842507444,1.847027338969074,0.0625,16
Talia,S10,A3_all68_k8,disc,9.986294154922404e-05,0.11701958688630722,0.4375,16
Talia,S11,A3_all68_k8,disc,0.02357717228816836,1.9310060188048292,0.0625,16
