dataset,subject,modality,font,delta_snr,mean_par_snr,mean_ctrl_snr,delta_erp,mean_par_erp,mean_ctrl_erp
Angelique,S22,NumWoGE,20F/S,0.1568475365638733,1.3344500064849854,1.177602469921112,0.025231584906578064,0.516962081193924,0.4917304962873459
Angelique,S23,Dig,1F,1.1693613529205322,2.0616273283958435,0.8922659754753113,0.08384281396865845,0.4538370817899704,0.36999426782131195
Angelique,S23,Dig,20F/A,0.01988968253135681,1.0943726897239685,1.0744830071926117,-0.03403538465499878,0.3632473945617676,0.39728277921676636
Angelique,S23,Dig,20F/S,0.13517838716506958,1.118181735277176,0.9830033481121063,0.010532423853874207,0.40805450081825256,0.39752207696437836
Angelique,S23,NumWoGE,1F,-0.19180068373680115,1.0941204726696014,1.2859211564064026,-0.012549832463264465,0.41245971620082855,0.425009548664093
Angelique,S23,NumWoGE,20F/A,0.645206093788147,1.7968766689300537,1.1516705751419067,0.06727680563926697,0.4614906311035156,0.39421382546424866
Angelique,S23,NumWoGE,20F/S,-0.6725785136222839,1.228534460067749,1.901112973690033,-0.04662539064884186,0.374917209148407,0.42154259979724884
Angelique,S24,Dig,1F,0.371975302696228,1.3226640820503235,0.9506887793540955,0.058444708585739136,0.762494295835495,0.7040495872497559
Angelique,S24,Dig,20F/A,0.5452308654785156,1.1198121905326843,0.5745813250541687,0.09485331177711487,0.7650420963764191,0.6701887845993042
Angelique,S24,Dig,20F/S,-0.7030817568302155,0.6311662793159485,1.334248036146164,-0.033622920513153076,0.8610312342643738,0.8946541547775269
Angelique,S24,NumWoGE,1F,-0.2882233262062073,1.5704102516174316,1.858633577823639,-0.03217196464538574,0.7209194004535675,0.7530913650989532
Angelique,S24,NumWoGE,20F/A,-0.00038293004035949707,0.9349084198474884,0.9352913498878479,0.156744584441185,0.6618252992630005,0.5050807148218155
Angelique,S24,NumWoGE,20F/S,-0.12140282988548279,1.314726710319519,1.4361295402050018,0.027754932641983032,0.7658313512802124,0.7380764186382294
Angelique,S25,Dig,1F,-0.09114080667495728,0.9504579305648804,1.0415987372398376,-0.017291933298110962,0.6071966886520386,0.6244886219501495
Angelique,S25,Dig,20F/A,-0.04567444324493408,0.8947336375713348,0.9404080808162689,-0.07709959149360657,0.5302370190620422,0.6073366105556488
Angelique,S25,Dig,20F/S,-0.22351616621017456,0.9728005528450012,1.1963167190551758,-0.07706218957901001,0.5486347377300262,0.6256969273090363
Angelique,S25,NumWoGE,1F,0.03586563467979431,0.702916145324707,0.6670505106449127,-0.022617071866989136,0.47912295162677765,0.5017400234937668
Angelique,S25,NumWoGE,20F/A,0.052525460720062256,0.9044283330440521,0.8519028723239899,0.02007289230823517,0.5303354561328888,0.5102625638246536
Angelique,S25,NumWoGE,20F/S,0.40219178795814514,1.3001813888549805,0.8979896008968353,-0.018508702516555786,0.5237098932266235,0.5422185957431793
Angelique,S26,Dig,1F,0.4604794681072235,1.4688273072242737,1.0083478391170502,0.04941423237323761,0.5763826072216034,0.5269683748483658
Angelique,S26,Dig,20F/A,0.019591420888900757,1.068371295928955,1.0487798750400543,0.12869155406951904,0.5743420720100403,0.44565051794052124
Angelique,S26,Dig,20F/S,-0.5275071263313293,1.278611570596695,1.8061186969280243,-0.08608682453632355,0.5213246643543243,0.6074114888906479
Angelique,S26,NumWoGE,1F,0.38787585496902466,1.5750975608825684,1.1872217059135437,0.015187233686447144,0.5267014652490616,0.5115142315626144
Angelique,S26,NumWoGE,20F/A,-0.6660773456096649,0.6875705420970917,1.3536478877067566,0.010049283504486084,0.45835497975349426,0.4483056962490082
Angelique,S26,NumWoGE,20F/S,-0.30334657430648804,0.8644441962242126,1.1677907705307007,-0.09203961491584778,0.3961254358291626,0.4881650507450104
Angelique,S27,Dig,1F,-0.07002565264701843,1.029657393693924,1.0996830463409424,0.009987086057662964,0.6291457414627075,0.6191586554050446
Angelique,S27,Dig,20F/A,-0.35279834270477295,0.825587123632431,1.178385466337204,0.18773293495178223,0.7418764531612396,0.5541435182094574
Angelique,S27,Dig,20F/S,0.14212867617607117,0.988297313451767,0.8461686372756958,-0.0034750401973724365,0.6002728044986725,0.6037478446960449
Angelique,S27,NumWoGE,1F,0.4481993615627289,2.1523899137973785,1.7041905522346497,0.0861382782459259,0.7962587177753448,0.710120439529419
Angelique,S27,NumWoGE,20F/A,-0.044607728719711304,0.8508438467979431,0.8954515755176544,0.05720439553260803,0.7314345836639404,0.6742301881313324
Angelique,S27,NumWoGE,20F/S,-0.11710220575332642,1.0402138531208038,1.1573160588741302,0.006888359785079956,0.7123739123344421,0.7054855525493622
Angelique,S28,Dig,1F,-0.17882013320922852,1.2118725776672363,1.3906927108764648,0.036571234464645386,0.5051766186952591,0.4686053842306137
Angelique,S28,Dig,20F/A,0.2435297667980194,1.2585185766220093,1.0149888098239899,0.06274577975273132,0.5175972431898117,0.4548514634370804
