dataset,subject,modality,font_label,condition,seq_name,block_id,snr_disc_all,global_SNR_3.75,global_SNR_7.5,global_SNR_11.25,global_SNR_15,global_SNR_18.75,global_logP_3.75,global_logP_7.5,global_logP_11.25,global_logP_15,global_logP_18.75,global_SNR_ratio
Angelique,S20,NumWoGE,20F/S,Par,sequence_1,S20|NumWoGE|20F/S|Par,0.8618989586830139,0.8618989586830139,4.1510329246521,0.8995513319969177,4.216696739196777,1.5066534280776978,6.40175199508667,7.187796592712402,6.1873393058776855,6.5222601890563965,6.121114253997803,0.7096872329711914
Angelique,S21,Dig,1F,Control,sequence_0,S21|Dig|1F|Control,2.0547213554382324,2.0547213554382324,1.3411718606948853,0.6648246049880981,5.12705135345459,1.0517446994781494,7.07646369934082,6.753421306610107,6.436573028564453,7.032825469970703,5.899098873138428,8.275693893432617
Angelique,S21,Dig,1F,Control,sequence_1,S21|Dig|1F|Control,2.265414237976074,2.265414237976074,9.187370300292969,2.130545139312744,13.998141288757324,1.1419992446899414,7.004555702209473,7.45823335647583,6.909739971160889,7.403419494628906,6.020351409912109,0.42316222190856934
Angelique,S21,Dig,1F,Par,sequence_0,S21|Dig|1F|Par,1.142897129058838,1.142897129058838,7.169205665588379,2.2323901653289795,9.32132625579834,1.0994198322296143,6.534139633178711,7.387383460998535,6.846209526062012,7.30615234375,5.984873294830322,1.9739316701889038
Angelique,S21,Dig,1F,Par,sequence_1,S21|Dig|1F|Par,1.304612159729004,1.304612159729004,8.382875442504883,0.7059178352355957,9.76105785369873,0.7898985743522644,6.87675142288208,7.561710834503174,6.345912933349609,7.458930492401123,5.978404998779297,49.39422607421875
Angelique,S21,Dig,20F/A,Control,sequence_0,S21|Dig|20F/A|Control,1.0258311033248901,1.0258311033248901,10.91265869140625,0.629790723323822,3.667116641998291,1.0449751615524292,6.764627456665039,7.594777584075928,6.196768760681152,6.695727348327637,5.857205390930176,0.18947461247444153
Angelique,S21,Dig,20F/A,Control,sequence_1,S21|Dig|20F/A|Control,0.6303458213806152,0.6303458213806152,10.999542236328125,1.725996494293213,4.7367329597473145,1.2879668474197388,6.508294582366943,7.562331199645996,6.666524410247803,6.827697277069092,6.09657096862793,0.16918443143367767
Angelique,S21,Dig,20F/A,Par,sequence_0,S21|Dig|20F/A|Par,0.4707944095134735,0.4707944095134735,10.289276123046875,1.0052456855773926,5.276284694671631,0.8457033038139343,6.264804840087891,7.496241569519043,6.358870983123779,6.839078903198242,5.794562816619873,2.2737090587615967
Angelique,S21,Dig,20F/A,Par,sequence_1,S21|Dig|20F/A|Par,0.42180150747299194,0.42180150747299194,12.647917747497559,1.3472949266433716,3.2650420665740967,0.9305925965309143,6.190430641174316,7.82301139831543,6.405099868774414,6.521732330322266,5.7353315353393555,0.8682822585105896
Angelique,S21,Dig,20F/S,Control,sequence_0,S21|Dig|20F/S|Control,1.4618109464645386,1.4618109464645386,12.98247241973877,0.7532705664634705,10.138354301452637,0.7697064876556396,6.696887016296387,7.754230976104736,6.289485931396484,7.1930975914001465,5.75231409072876,0.5420436859130859
Angelique,S21,Dig,20F/S,Control,sequence_1,S21|Dig|20F/S|Control,1.061594843864441,1.061594843864441,5.3579206466674805,0.863273024559021,5.603796005249023,0.8171122670173645,6.741455078125,7.382434368133545,6.376274108886719,6.991902828216553,5.968020915985107,0.7376468181610107
Angelique,S21,Dig,20F/S,Par,sequence_0,S21|Dig|20F/S|Par,1.178521752357483,1.178521752357483,13.380716323852539,1.1169791221618652,6.777091979980469,0.85396808385849,6.735902309417725,7.824064254760742,6.417971611022949,7.044407367706299,5.872189998626709,0.2038916051387787
Angelique,S21,Dig,20F/S,Par,sequence_1,S21|Dig|20F/S|Par,0.8874949812889099,0.8874949812889099,10.141712188720703,0.780864417552948,10.864848136901855,0.8072769045829773,6.5766401290893555,7.7121052742004395,6.340271472930908,7.230688571929932,5.7865309715271,0.3954557776451111
Angelique,S21,NumWoGE,1F,Control,sequence_0,S21|NumWoGE|1F|Control,0.8591094613075256,0.8591094613075256,6.970989227294922,3.0215587615966797,4.713093280792236,0.9472384452819824,6.660930633544922,7.3515305519104,7.1587629318237305,6.741023540496826,5.812296390533447,0.35685595870018005
Angelique,S21,NumWoGE,1F,Control,sequence_1,S21|NumWoGE|1F|Control,2.2677135467529297,2.2677135467529297,4.53737735748291,1.9891453981399536,7.544612407684326,0.7885991334915161,7.0048651695251465,6.941085338592529,6.71004056930542,6.986778259277344,5.728130340576172,1.495508074760437
Angelique,S21,NumWoGE,1F,Par,sequence_0,S21|NumWoGE|1F|Par,1.9779276847839355,1.9779276847839355,4.609147548675537,1.4746466875076294,6.653599262237549,0.7805612683296204,6.8423051834106445,7.07011079788208,6.7249755859375,7.033161163330078,5.821643829345703,7.967803001403809
Angelique,S21,NumWoGE,1F,Par,sequence_1,S21|NumWoGE|1F|Par,2.858243465423584,2.858243465423584,5.838520050048828,1.5245115756988525,9.412875175476074,1.611960530281067,6.981731414794922,7.292730331420898,6.710674285888672,7.142385005950928,6.075450897216797,0.5954829454421997
Angelique,S21,NumWoGE,20F/A,Control,sequence_0,S21|NumWoGE|20F/A|Control,1.2568979263305664,1.2568979263305664,3.538790702819824,0.8829097151756287,3.4713551998138428,0.98223876953125,6.7176032066345215,7.193726539611816,6.278360843658447,6.546712398529053,5.808845520019531,1.9329885244369507
Angelique,S21,NumWoGE,20F/A,Control,sequence_1,S21|NumWoGE|20F/A|Control,0.6289357542991638,0.6289357542991638,2.655430316925049,0.660588800907135,3.206228733062744,1.038604497909546,6.457464218139648,6.986330032348633,6.267426490783691,6.7052903175354,5.936279773712158,1.3249669075012207
Angelique,S21,NumWoGE,20F/A,Par,sequence_0,S21|NumWoGE|20F/A|Par,1.130868911743164,1.130868911743164,3.7970285415649414,2.8712260723114014,3.1850967407226562,0.8163466453552246,6.744748115539551,7.131741046905518,6.863701820373535,6.628496170043945,5.810019016265869,4.766275405883789
Angelique,S21,NumWoGE,20F/A,Par,sequence_1,S21|NumWoGE|20F/A|Par,2.3256866931915283,2.3256866931915283,6.97908353805542,0.7458496689796448,5.411190509796143,1.2316691875457764,7.236110210418701,7.481369495391846,6.403229236602783,6.949558258056641,5.931385040283203,2.8445992469787598
Angelique,S21,NumWoGE,20F/S,Control,sequence_0,S21|NumWoGE|20F/S|Control,1.3923888206481934,1.3923888206481934,5.274117469787598,0.5813559293746948,2.435232162475586,0.3728640079498291,6.727725505828857,7.277980804443359,6.141300201416016,6.3980607986450195,5.375265598297119,0.5613134503364563
Angelique,S21,NumWoGE,20F/S,Control,sequence_1,S21|NumWoGE|20F/S|Control,1.1301374435424805,1.1301374435424805,4.589189529418945,0.7526130080223083,2.035698175430298,1.0101598501205444,6.687859535217285,7.360162734985352,6.208130836486816,6.366774559020996,5.907451629638672,0.5121832489967346
Angelique,S21,NumWoGE,20F/S,Par,sequence_0,S21|NumWoGE|20F/S|Par,1.5987759828567505,1.5987759828567505,5.3479390144348145,0.6630083918571472,3.144745349884033,0.9394239783287048,6.874610424041748,7.336714267730713,6.300293445587158,6.7143168449401855,5.715762138366699,0.6818384528160095
Angelique,S21,NumWoGE,20F/S,Par,sequence_1,S21|NumWoGE|20F/S|Par,1.8636294603347778,1.8636294603347778,5.796024799346924,1.0727397203445435,3.091427803039551,1.204886794090271,6.890782356262207,7.295167446136475,6.3969645500183105,6.50553560256958,5.976025104522705,0.7158995866775513
Angelique,S22,Dig,1F,Control,sequence_0,S22|Dig|1F|Control,0.9458656311035156,0.9458656311035156,2.7526814937591553,0.5648284554481506,6.29144811630249,0.5946568250656128,6.330093860626221,6.692450046539307,5.798914432525635,6.782635688781738,5.728754997253418,1.943882703781128
Angelique,S22,Dig,1F,Control,sequence_1,S22|Dig|1F|Control,0.8551592826843262,0.8551592826843262,3.256171941757202,1.3961257934570312,1.6687140464782715,0.7989362478256226,6.357448101043701,7.022958278656006,6.475067615509033,6.121474266052246,5.975931167602539,0.9332872629165649
Angelique,S22,Dig,1F,Par,sequence_0,S22|Dig|1F|Par,0.595309317111969,0.595309317111969,2.394885301589966,0.5968590378761292,5.9890546798706055,1.3430812358856201,6.276917457580566,6.5891900062561035,5.7993035316467285,6.793766021728516,5.927674770355225,0.9572568535804749
